Name,Price (NPR),Product URL
"Lenovo LOQ Gaming 2025 (Intel Core i5 12th Gen 12450HX Processor | 8GB RAM | 512 GB SSD | NVIDIA GeForce RTX 2050 4GB Graphics | White Backlit Keyboard | 15.6"" FHD 100% sRGB 144HZ Display)",90999,https://infotechsnepal.com.np/product/lenovo-loq-gaming-2025-i5-12450hx-8gb-ram-512-gb-ssd-rtx-2050-4gb-graphics-15-6-fhd/
"Lenovo Legion Y7000 Gaming (Intel Core i7 13th Gen 13650HX Processor | 24GB RAM | 512GB SSD | NVIDIA GeForce RTX 4060 Graphics | 15.6"" FHD 144Hz Display)",160999,https://infotechsnepal.com.np/product/lenovo-legion-y7000-gaming-i7-13650hx-24gb-ram-512gb-ssd-rtx-4060-graphics-15-6-fhd/
"Acer Aspire Lite 14 ( Intel Core i5 13th Gen 1334U Processor | 16GB RAM | 512GB SSD | Intel UHD Graphics | 14"" WUXGA Display | 2 Years Warranty)",73999,https://infotechsnepal.com.np/product/acer-aspire-lite-14-i5-1334u-16gb-ram-512gb-ssd-uhd-graphics-14-fhd/
"Lenovo LOQ 15IAX9E (Intel® Core i7 12th Gen 12650HX Processor | 16GB RAM | 512 SSD | NVIDIA GeForce RTX 4050 6GB Graphics | 15.6"" WUXGA FHD+ IPS 144Hz Display)",120999,https://infotechsnepal.com.np/product/lenovo-loq-15iax9e-core-i7-12th-gen-12650hx-16gb-ram-512-ssd-rtx-4050-6gb-graphics-15-6-inch/
"Dell Vostro 15 3530 (Intel Core i5 13th Gen 1334U Processor | 16GB RAM | 512GB SSD | Intel UHD Graphics | Non Backlit Keyboard | 15.6""  FHD IPS Display)",72499,https://infotechsnepal.com.np/product/dell-vostro-15-3530-i5-1334u-16gb-ram-512gb-ssd-uhd-graphics-15-6-fhd/
HP 250 G10 (Intel Core i5 13th 1334U Processor | 16GB RAM | 512GB SSD | Intel UHD Graphics | 15.6 FHD Display),72999,https://infotechsnepal.com.np/product/hp-250-g10-i5-13th-1334u-16gb-ram-512gb-ssd-uhd-graphics-15-6-fhd/
"Lenovo ThinkPad T14 Gen 5 (Intel Core Ultra 5 14th Gen 125H Processor | 16GB RAM | 512GB SSD | 14"" WQXGA Touch Display | 3 Years Warranty)",209999,https://infotechsnepal.com.np/product/lenovo-thinkpad-t14-gen-5-ultra-5-125h-16gb-ram-512gb-ssd-14-inch/
HP 250 G10 (Intel Core i5 13th Gen 1334U Processor | 8GB RAM | 512GB SSD | Intel UHD Graphics | 15.6 FHD Display),70999,https://infotechsnepal.com.np/product/hp-250-g10-i5-1334u-8gb-ram-512gb-ssd-uhd-graphics-15-6-fhd/
Lenovo IdeaPad Slim 3 (AMD Ryzen 3 7320U Processor | 8GB RAM | 512GB SSD | AMD Radeon Graphics | Backlit Keyboard | 14” FHD IPS Display),50999,https://infotechsnepal.com.np/product/lenovo-ideapad-slim-3-ryzen-3-7320u-8gb-ram-512gb-ssd-radeon-graphics-backlit-keyboard-14-fhd/
"Lenovo IdeaPad Slim 3 2025 (Intel Core i5 13th Gen 13420H Processor 24GB RAM | 512GB SSD | Intel UHD Graphics | 15.3"" WUXGA FHD+ IPS Display)",77999,https://infotechsnepal.com.np/product/lenovo-ideapad-slim-3-2025-i5-13420h-24gb-ram-512gb-ssd-uhd-graphics-15-3-fhd/
